timestamp_utc,market,hours_to_settle,leader_bucket,leader_price,silence_h,period_count,signal
2026-07-13T15:35:03.597Z,"Elon Musk # tweets July 11 - July 13, 2026?",0.4,"<40",0.995,0.1,25,0
2026-07-13T15:40:50.087Z,"Elon Musk # tweets July 11 - July 13, 2026?",0.3,"<40",0.997,0.2,25,0
2026-07-13T15:45:08.531Z,"Elon Musk # tweets July 11 - July 13, 2026?",0.2,"<40",0.997,0.3,25,0
2026-07-13T18:00:03.929Z,"Elon Musk # tweets July 13 - July 15, 2026?",46.0,"40-64",0.445,2.5,0,0
2026-07-13T19:42:57.431Z,"Elon Musk # tweets July 13 - July 15, 2026?",44.3,"40-64",0.530,0.9,6,0
2026-07-13T21:04:21.500Z,"Elon Musk # tweets July 13 - July 15, 2026?",42.9,"40-64",0.525,2.3,6,0
2026-07-13T23:01:25.028Z,"Elon Musk # tweets July 13 - July 15, 2026?",41.0,"40-64",0.525,0.1,9,0
2026-07-14T03:13:36.803Z,"Elon Musk # tweets July 13 - July 15, 2026?",36.8,"<40",0.440,4.3,9,0
2026-07-14T06:17:57.168Z,"Elon Musk # tweets July 13 - July 15, 2026?",33.7,"40-64",0.495,0.3,14,0
2026-07-14T09:09:13.499Z,"Elon Musk # tweets July 13 - July 15, 2026?",30.8,"<40",0.475,3.2,14,0
2026-07-14T11:36:23.868Z,"Elon Musk # tweets July 13 - July 15, 2026?",28.4,"<40",0.490,5.6,14,0
2026-07-14T14:00:21.326Z,"Elon Musk # tweets July 13 - July 15, 2026?",26.0,"<40",0.525,8.0,14,0
2026-07-14T16:20:16.488Z,"Elon Musk # tweets July 13 - July 15, 2026?",23.7,"40-64",0.550,1.4,20,0
2026-07-14T18:09:23.811Z,"Elon Musk # tweets July 13 - July 15, 2026?",21.8,"<40",0.520,3.2,20,0
2026-07-14T20:17:39.587Z,"Elon Musk # tweets July 13 - July 15, 2026?",19.7,"<40",0.590,5.4,20,0
2026-07-14T22:03:59.365Z,"Elon Musk # tweets July 13 - July 15, 2026?",17.9,"<40",0.655,7.1,20,0
2026-07-14T23:57:50.122Z,"Elon Musk # tweets July 13 - July 15, 2026?",16.0,"<40",0.695,9.0,20,0
2026-07-15T03:22:39.095Z,"Elon Musk # tweets July 13 - July 15, 2026?",12.6,"<40",0.690,0.8,26,0
2026-07-15T06:21:25.813Z,"Elon Musk # tweets July 13 - July 15, 2026?",9.6,"<40",0.835,0.5,27,0
2026-07-15T09:14:32.414Z,"Elon Musk # tweets July 13 - July 15, 2026?",6.8,"<40",0.880,3.4,27,0
2026-07-15T11:40:11.800Z,"Elon Musk # tweets July 13 - July 15, 2026?",4.3,"<40",0.835,5.8,27,1
2026-07-15T13:57:18.802Z,"Elon Musk # tweets July 13 - July 15, 2026?",2.0,"40-64",0.984,0.1,42,0
2026-07-15T15:40:30.314Z,"Elon Musk # tweets July 13 - July 15, 2026?",0.3,"40-64",0.993,0.2,53,0
2026-07-15T17:23:38.256Z,"Elon Musk # tweets July 16 - July 18, 2026?",70.6,"40-64",0.485,1.7,0,0
2026-07-15T19:21:48.423Z,"Elon Musk # tweets July 16 - July 18, 2026?",68.6,"40-64",0.485,3.6,0,0
